Date,.SSEC,.VHSI,.SSE180VWI,.CSI000952,.CSI300FS
9/16/1992,769.04,,,,
9/17/1992,761.72,,,,
9/18/1992,754.4,,,,
9/21/1992,733.44,,,,
9/22/1992,722.7,,,,
9/23/1992,712.37,,,,
9/24/1992,730.57,,,,
9/25/1992,729.79,,,,
9/28/1992,724.7,,,,
9/29/1992,710.63,,,,
9/30/1992,702.32,,,,
10/5/1992,679.62,,,,
10/6/1992,674.24,,,,
10/7/1992,665.26,,,,
10/8/1992,643.69,,,,
10/9/1992,660.29,,,,
10/12/1992,690.57,,,,
10/13/1992,673.99,,,,
10/14/1992,663.75,,,,
10/15/1992,663.53,,,,
10/16/1992,664.75,,,,
10/19/1992,632.4,,,,
10/20/1992,616.29,,,,
10/21/1992,585.7,,,,
10/22/1992,539.8,,,,
10/23/1992,559.73,,,,
10/26/1992,506.94,,,,
10/27/1992,450.28,,,,
10/28/1992,463.21,,,,
10/29/1992,484.25,,,,
10/30/1992,507.25,,,,
11/2/1992,477.61,,,,
11/3/1992,479.81,,,,
11/4/1992,469.9,,,,
11/5/1992,462.63,,,,
11/6/1992,457.05,,,,
11/9/1992,428.61,,,,
11/10/1992,400.53,,,,
11/11/1992,410.16,,,,
11/12/1992,415.79,,,,
11/13/1992,414.09,,,,
11/16/1992,399.32,,,,
11/17/1992,393.52,,,,
11/18/1992,407.61,,,,
11/19/1992,398.95,,,,
11/20/1992,401.44,,,,
11/23/1992,410.39,,,,
11/24/1992,440.04,,,,
11/25/1992,571.63,,,,
11/26/1992,562.01,,,,
11/27/1992,637.67,,,,
11/30/1992,724.6,,,,
12/1/1992,716.74,,,,
12/2/1992,722.2,,,,
12/3/1992,808.2,,,,
12/4/1992,807.02,,,,
12/7/1992,793.25,,,,
12/8/1992,753.94,,,,
12/9/1992,676.45,,,,
12/10/1992,625.23,,,,
12/11/1992,722.28,,,,
12/14/1992,705.07,,,,
12/15/1992,682.24,,,,
12/16/1992,685.82,,,,
12/17/1992,707.82,,,,
12/18/1992,698.13,,,,
12/21/1992,731.68,,,,
12/22/1992,725.78,,,,
12/23/1992,732.05,,,,
12/24/1992,758.59,,,,
12/25/1992,764.28,,,,
12/28/1992,757.31,,,,
12/29/1992,768.91,,,,
12/30/1992,767.52,,,,
12/31/1992,780.39,,,,
1/4/1993,814.04,,,,
1/5/1993,858.72,,,,
1/6/1993,847.44,,,,
1/7/1993,868.97,,,,
1/8/1993,889.47,,,,
1/11/1993,977.42,,,,
1/12/1993,987.26,,,,
1/13/1993,1024.05,,,,
